,Game,AC,AS,EW,WY,Average
135,Throw Throw Burrito,7.0,,7.0,4.0,6.0
136,Ticket to Ride,7.0,,7.0,6.0,6.666666666666667
137,Ticket to Ride: Europe,,,7.0,6.0,6.5
138,Tigris & Euphrates,,,,,
139,Tobago,,,,,
140,Tsuro,6.5,,,,6.5
141,Unsettled,,,,,
142,Unstable Unicorns,6.0,,,,6.0
143,Vagrantsong,,,,,
144,Vast: The Crystal Caverns,7.5,,,1.0,4.25
145,We Didn't Playtest This At All,,,8.0,4.0,6.0
146,Wingspan,,,,,
147,Wizard,6.5,,,,6.5
